date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:06	31/31	---M--	200	added ('OK')	text/plain	date:Mon,%2008%20Jun%202020%2011:01:06%20GMT	https://bootstrapmade.com/robots.txt		(from )
14:01:06	5451/5451	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2011:01:06%20GMT	https://bootstrapmade.com/demo/Arsha/	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/Arsha/index.html	(from )
14:01:06	7279/7279	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Sep%202016%2004:35:22%20GMT	https://bootstrapmade.com/demo/assets/css/normalize.css	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/assets/css/normalize.css	(from https://bootstrapmade.com/demo/Arsha/)
14:01:07	2544/2544	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202016%2004:24:22%20GMT	https://bootstrapmade.com/demo/assets/css/fontello.css	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/assets/css/fontello.css	(from https://bootstrapmade.com/demo/Arsha/)
14:01:07	4894/4894	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2005:48:27%20GMT	https://bootstrapmade.com/demo/assets/css/style.css	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/assets/css/style.css	(from https://bootstrapmade.com/demo/Arsha/)
14:01:07	5109/5109	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2020:46:18%20GMT	https://bootstrapmade.com/wp-content/themes/bmade/assets/img/logo.png	C:/My%20Web%20Sites/template2/bootstrapmade.com/wp-content/themes/bmade/assets/img/logo.png	(from https://bootstrapmade.com/demo/Arsha/)
14:01:07	86351/86351	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2014%20Aug%202016%2003:32:06%20GMT	https://bootstrapmade.com/demo/assets/js/jquery-3.1.0.min.js	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/assets/js/jquery-3.1.0.min.js	(from https://bootstrapmade.com/demo/Arsha/)
14:01:07	566/566	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Oct%202016%2004:39:38%20GMT	https://bootstrapmade.com/demo/assets/js/custom.js	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/assets/js/custom.js	(from https://bootstrapmade.com/demo/Arsha/)
14:01:08	45892/45892	---MC-	200	added ('OK')	text/javascript	date:Thu,%2030%20Apr%202020%2021:54:13%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/template2/www.google-analytics.com/analytics.js	(from https://bootstrapmade.com/demo/Arsha/)
14:01:08	19441/19441	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Aug%202015%2004:18:08%20GMT	https://bootstrapmade.com/demo/assets/img/background.jpg	C:/My%20Web%20Sites/template2/bootstrapmade.com/demo/assets/img/background.jpg	(from https://bootstrapmade.com/demo/assets/css/style.css)
